date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-03-31 22:00:00+00:00,2023,Estudiantes L.P.,Newells Old Boys,450,457,3,0,2
2023-04-01 00:30:00+00:00,2023,River Plate,Union Santa Fe,435,441,1,0,2
2023-04-01 18:30:00+00:00,2023,Barracas Central,Boca Juniors,2432,451,0,3,0
2023-04-01 22:00:00+00:00,2023,San Lorenzo,Independiente,460,453,0,0,1
2023-04-01 22:30:00+00:00,2023,Racing Club,Huracan,436,445,2,1,2
2023-04-02 00:30:00+00:00,2023,Tigre,Lanus,452,446,2,1,2
2023-04-02 19:30:00+00:00,2023,Instituto Cordoba,Talleres Cordoba,478,456,0,3,0
2023-04-02 22:00:00+00:00,2023,Colon Santa Fe,Atletico Tucuman,448,455,0,0,1
2023-04-03 00:30:00+00:00,2023,Banfield,Platense,449,1064,0,2,0
2023-04-03 23:00:00+00:00,2023,Belgrano Cordoba,Sarmiento Junin,440,474,0,0,1
2023-04-04 00:30:00+00:00,2023,Central Cordoba de Santiago,Arsenal Sarandi,1065,459,1,0,2
2023-04-07 22:00:00+00:00,2023,Lanus,Arsenal Sarandi,446,459,3,0,2
2023-04-07 22:00:00+00:00,2023,Platense,Instituto Cordoba,1064,478,1,0,2
2023-04-08 00:30:00+00:00,2023,Talleres Cordoba,Barracas Central,456,2432,3,0,2
2023-04-08 00:30:00+00:00,2023,Velez Sarsfield,Banfield,438,449,3,3,1
2023-04-08 18:30:00+00:00,2023,Sarmiento Junin,Argentinos JRS,474,458,2,0,2
2023-04-08 21:00:00+00:00,2023,Gimnasia L.P.,Racing Club,434,436,3,1,2
2023-04-08 21:00:00+00:00,2023,Union Santa Fe,Belgrano Cordoba,441,440,0,3,0
2023-04-08 23:30:00+00:00,2023,Defensa Y Justicia,Central Cordoba de Santiago,442,1065,1,2,0
2023-04-08 23:30:00+00:00,2023,Atletico Tucuman,San Lorenzo,455,460,1,3,0
2023-04-09 17:00:00+00:00,2023,Godoy Cruz,Tigre,439,452,1,1,1
2023-04-09 17:00:00+00:00,2023,Independiente,Estudiantes L.P.,453,450,1,2,0
2023-04-09 19:30:00+00:00,2023,Newells Old Boys,Rosario Central,457,437,0,0,1
2023-04-09 22:00:00+00:00,2023,Huracan,River Plate,445,435,0,3,0
2023-04-10 00:30:00+00:00,2023,Boca Juniors,Colon Santa Fe,451,448,1,2,0
2023-04-11 17:00:00+00:00,2023,Barracas Central,Platense,2432,1064,1,0,2
2023-04-11 22:00:00+00:00,2023,Argentinos JRS,Union Santa Fe,458,441,5,1,2
2023-04-12 00:30:00+00:00,2023,Banfield,Defensa Y Justicia,449,442,0,3,0
2023-04-12 00:30:00+00:00,2023,Instituto Cordoba,Velez Sarsfield,478,438,1,0,2
2023-04-12 00:30:00+00:00,2023,Central Cordoba de Santiago,Lanus,1065,446,1,1,1
2023-04-12 20:30:00+00:00,2023,San Lorenzo,Boca Juniors,460,451,1,0,2
